"Longitude","Latitude","Day_of_Week"
-0.103029,51.51648,"Tue"
-0.076049,51.513702,"Sat"
-0.144752,51.514809,"Thu"
-0.128099,51.509689,"Thu"
-0.168939,51.519056,"Thu"
-0.132792,51.490069,"Sat"
-0.133272,51.510041,"Sun"
-0.200307,51.520441,"Sat"
-0.164941,51.521692,"Mon"
-0.132814,51.507156,"Tue"
-0.135662,51.497399,"Fri"
-0.149815,51.521454,"Thu"
-0.14796,51.492558,"Thu"
-0.174679,51.516088,"Thu"
-0.165625,51.522602,"Tue"
-0.169774,51.519789,"Tue"
-0.125399,51.494718,"Mon"
-0.183163,51.527461,"Sat"
-0.119827,51.511085,"Sat"
-0.175221,51.531384,"Mon"
-0.129251,51.513214,"Wed"
-0.147842,51.499031,"Mon"
-0.140985,51.515289,"Sun"
-0.167092,51.518398,"Mon"
-0.142525,51.516393,"Sun"
-0.119974,51.510998,"Thu"
-0.158555,51.512059,"Wed"
-0.170754,51.531315,"Thu"
-0.155122,51.49357,"Thu"
-0.15179,51.518967,"Wed"
-0.163048,51.515007,"Sun"
-0.125399,51.494718,"Sat"
-0.148817,51.499856,"Tue"
-0.131456,51.51217,"Tue"
-0.154656,51.508671,"Thu"
-0.194442,51.522959,"Fri"
-0.142525,51.516393,"Fri"
-0.134397,51.517793,"Sat"
-0.131747,51.512085,"Thu"
-0.187021,51.510165,"Wed"
-0.171067,51.519899,"Wed"
-0.155445,51.517676,"Fri"
-0.161441,51.501223,"Fri"
-0.151593,51.506015,"Tue"
-0.14995,51.511025,"Sat"
-0.165211,51.522145,"Thu"
-0.171316,51.506504,"Sat"
-0.171157,51.535637,"Fri"
-0.140808,51.487769,"Sat"
-0.204852,51.525816,"Sat"
-0.194305,51.522777,"Sat"
-0.143927,51.520911,"Fri"
-0.117873,51.513032,"Thu"
-0.150466,51.516069,"Fri"
-0.167621,51.512381,"Sat"
-0.144714,51.512201,"Sat"
-0.13043,51.516111,"Thu"
-0.135881,51.4885,"Thu"
-0.127393,51.509318,"Mon"
-0.150698,51.503213,"Tue"
-0.119217,51.515392,"Mon"
-0.187309,51.510169,"Fri"
-0.12644,51.500939,"Fri"
-0.131754,51.508398,"Mon"
-0.173927,51.527677,"Thu"
-0.144604,51.514897,"Sat"
-0.13201,51.516226,"Thu"
-0.140334,51.492348,"Thu"
-0.204143,51.525536,"Thu"
-0.150159,51.502305,"Sat"
-0.155541,51.522443,"Sat"
-0.171179,51.52071,"Mon"
-0.167765,51.512383,"Tue"
-0.138102,51.487006,"Tue"
-0.13092,51.507665,"Sat"
-0.131662,51.489512,"Sat"
-0.149133,51.516947,"Wed"
-0.1296,51.50117,"Thu"
-0.202737,51.524615,"Thu"
-0.156004,51.493135,"Tue"
-0.186416,51.518159,"Tue"
-0.150983,51.503307,"Wed"
-0.146069,51.496575,"Wed"
-0.149966,51.514172,"Thu"
-0.201757,51.523881,"Fri"
-0.200752,51.523775,"Fri"
-0.148147,51.516392,"Sat"
-0.155508,51.512551,"Sat"
-0.192496,51.52113,"Mon"
-0.172584,51.521631,"Mon"
-0.174711,51.511682,"Wed"
-0.155609,51.513632,"Thu"
-0.140428,51.507727,"Thu"
-0.172396,51.511916,"Fri"
-0.151821,51.50395,"Wed"
-0.203139,51.532714,"Thu"
-0.133916,51.497821,"Thu"
-0.123988,51.50099,"Fri"
-0.124284,51.500815,"Fri"
-0.157745,51.510698,"Mon"
-0.142926,51.485284,"Sat"
-0.118368,51.511511,"Sun"
-0.155634,51.502301,"Mon"
-0.133847,51.488917,"Sun"
-0.174669,51.519955,"Tue"
-0.168925,51.512222,"Sat"
-0.150999,51.52426,"Tue"
-0.189058,51.524225,"Sun"
-0.132323,51.490961,"Sat"
-0.122327,51.506359,"Tue"
-0.155071,51.516231,"Sun"
-0.129979,51.488406,"Tue"
-0.164312,51.515837,"Wed"
-0.160235,51.502553,"Tue"
-0.150034,51.516062,"Fri"
-0.176373,51.524208,"Sun"
